Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
15707,0.505,0.223,0.39899999999999997,0.228,0.261,0.158,0.695,0.13699999999999998,0.46799999999999997,0.024,0.514,0.19699999999999998,0.32799999999999996,0.004,0.48700000000000004,0.107,0.11800000000000001,0.21600000000000003,0.15,0.35100000000000003,1.0,2.0
15708,0.505,0.221,0.39399999999999996,0.228,0.261,0.154,0.677,0.13699999999999998,0.46799999999999997,0.021,0.484,0.19699999999999998,0.32799999999999996,0.003,0.491,0.107,0.11800000000000001,0.22899999999999998,0.151,0.35100000000000003,1.0,2.0
15709,0.505,0.21600000000000003,0.382,0.228,0.261,0.158,0.657,0.13699999999999998,0.46799999999999997,0.021,0.426,0.19699999999999998,0.32799999999999996,0.005,0.504,0.107,0.11800000000000001,0.244,0.15,0.35100000000000003,1.0,2.0
15710,0.505,0.209,0.36,0.228,0.261,0.16699999999999998,0.639,0.13699999999999998,0.47700000000000004,0.021,0.408,0.578,0.08,0.002,0.519,0.33799999999999997,0.213,0.259,0.153,0.721,1.0,2.0
15711,0.619,0.201,0.331,0.644,0.16,0.17800000000000002,0.621,0.14300000000000002,0.491,0.022000000000000002,0.408,0.589,0.113,0.008,0.528,0.359,0.312,0.26899999999999996,0.165,0.72,1.0,2.0
15712,0.598,0.196,0.304,0.634,0.174,0.185,0.604,0.161,0.506,0.03,0.408,0.589,0.124,0.023,0.527,0.36200000000000004,0.41200000000000003,0.267,0.198,0.7090000000000001,1.0,2.0
15713,0.555,0.203,0.28800000000000003,0.613,0.179,0.191,0.591,0.17,0.513,0.04,0.408,0.589,0.12,0.039,0.518,0.35200000000000004,0.479,0.245,0.268,0.695,1.0,2.0
15714,0.505,0.23,0.293,0.5870000000000001,0.174,0.196,0.59,0.17600000000000002,0.519,0.043,0.397,0.589,0.10800000000000001,0.05,0.506,0.341,0.503,0.19,0.381,0.674,1.0,2.0
15715,0.456,0.284,0.324,0.556,0.162,0.203,0.603,0.179,0.539,0.043,0.37,0.589,0.096,0.049,0.49,0.337,0.502,0.1,0.527,0.654,1.0,2.0
15716,0.414,0.35600000000000004,0.376,0.525,0.15,0.21100000000000002,0.627,0.184,0.56,0.046,0.35600000000000004,0.589,0.09,0.038,0.467,0.345,0.49,0.004,0.669,0.634,1.0,2.0
15717,0.38,0.42700000000000005,0.436,0.499,0.14400000000000002,0.218,0.649,0.19399999999999998,0.594,0.053,0.35200000000000004,0.589,0.09300000000000001,0.027999999999999997,0.42700000000000005,0.364,0.47200000000000003,0.08800000000000001,0.754,0.607,1.0,2.0
15718,0.35700000000000004,0.47100000000000003,0.48700000000000004,0.48100000000000004,0.149,0.222,0.662,0.207,0.594,0.059000000000000004,0.349,0.589,0.09300000000000001,0.03,0.377,0.364,0.47200000000000003,0.12300000000000001,0.772,0.607,1.0,2.0
15719,0.35700000000000004,0.484,0.52,0.48100000000000004,0.149,0.221,0.6609999999999999,0.207,0.594,0.062,0.319,0.589,0.09300000000000001,0.051,0.326,0.364,0.47200000000000003,0.086,0.758,0.607,1.0,2.0
